"日期","收盘","开盘","高","低","交易量","百分比变化"
"2018年11月","59.84","65.00","65.39","59.27","-","-8.38%"
"2018年10月","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"2018年9月","73.25","69.89","73.73","66.86","10.09M","4.94%"
"2018年8月","69.80","68.43","70.50","64.43","10.42M","1.51%"
"2018年7月","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"2018年6月","74.15","67.07","74.46","63.59","12.86M","10.61%"
"2018年5月","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"2018年4月","68.57","64.91","69.56","61.81","12.71M","5.59%"
"2018年3月","64.94","61.55","66.55","59.95","12.38M","5.35%"
"2018年2月","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"2018年1月","64.73","60.20","66.66","60.10","12.77M","7.13%"
"2017年12月","60.42","57.42","60.51","55.82","9.49M","5.26%"
"2017年11月","57.40","54.65","59.05","53.89","12.53M","5.55%"
"2017年10月","54.38","51.64","54.85","49.10","11.95M","5.24%"
"2017年9月","51.67","47.08","52.86","46.56","12.24M","9.40%"
"2017年8月","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"2017年7月","50.17","46.28","50.41","43.65","14.57M","8.97%"
"2017年6月","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"2017年5月","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"2017年4月","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"2017年3月","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"2017年2月","54.01","52.76","54.94","51.22","9.09M","2.27%"
"2017年1月","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"2016年12月","53.72","49.07","54.51","48.98","10.64M","8.66%"
"2016年11月","49.44","46.77","49.90","42.20","13.50M","5.51%"
"2016年10月","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"2016年9月","48.24","44.85","48.32","42.55","12.37M","7.92%"
"2016年8月","44.70","41.35","48.75","39.19","11.59M","7.45%"
"2016年7月","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"2016年6月","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"2016年5月","49.10","45.90","50.21","43.03","11.20M","6.93%"
"2016年4月","45.92","38.14","46.78","35.24","11.62M","19.77%"
"2016年3月","38.34","33.90","41.90","33.37","10.88M","13.60%"
"2016年2月","33.75","33.83","34.69","26.05","11.47M","0.39%"
"2016年1月","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"2015年12月","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"2015年11月","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"2015年10月","46.59","45.38","50.92","42.58","8.31M","3.33%"
"2015年9月","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"2015年8月","49.20","46.86","49.33","37.75","8.24M","4.41%"
"2015年7月","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"2015年6月","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"2015年5月","60.30","59.79","62.58","56.51","6.34M","1.12%"
"2015年4月","59.63","47.55","59.85","47.05","7.63M","25.27%"
"2015年3月","47.60","49.45","52.48","42.03","7.69M","-4.34%"
"2015年2月","49.76","47.59","54.24","46.67","8.46M","3.15%"
"2015年1月","48.24","53.76","55.11","43.58","7.31M","-9.44%"
"2014年12月","53.27","66.00","69.54","52.44","6.56M","-19.47%"
"2014年11月","66.15","80.59","80.98","65.69","5.85M","-17.87%"
"2014年10月","80.54","91.36","92.96","79.44","7.17M","-11.65%"
"2014年9月","91.16","95.81","95.91","90.43","5.56M","-5.00%"
"2014年8月","95.96","97.70","98.67","92.50","4.59M","-2.25%"
"2014年7月","98.17","105.44","106.09","97.60","5.14M","-6.83%"
"2014年6月","105.37","102.92","107.73","101.60","4.12M","2.59%"
"2014年5月","102.71","99.72","104.50","98.74","4.38M","2.98%"
"2014年4月","99.74","101.53","104.99","98.86","4.71M","-1.81%"
"2014年3月","101.58","103.00","105.22","97.37","4.59M","-0.98%"
"2014年2月","102.59","97.40","103.80","96.26","3.93M","5.23%"
"2014年1月","97.49","98.50","98.97","91.24","4.49M","-0.94%"
